ticker,company,exchange,currency,market_cap_local,market_cap_usd
300750,CATL,SZSE,CNY,900000000000,126000000000
000858,Wuliangye Yibin,SZSE,CNY,500000000000,70000000000
002594,BYD,SZSE,CNY,780000000000,109200000000
000333,Midea Group,SZSE,CNY,560000000000,78400000000
300760,Shenzhen Mindray Bio-Medical Electronics,SZSE,CNY,310000000000,43400000000
000651,Gree Electric Appliances,SZSE,CNY,250000000000,35000000000
002475,Luxshare Precision,SZSE,CNY,240000000000,33600000000
300274,Sungrow Power Supply,SZSE,CNY,150000000000,21000000000
